Australian Bureau of Statistics

"2016 Census - Cultural Diversity"
"SA2 (UR) by AGE10P - Age in Ten Year Groups"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"AGE10P - Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Kingston (ACT)",263,167,1225,1113,501,512,365,177,72,28,0,4425,
"Banks",810,737,681,782,804,640,297,157,53,8,0,4967,
"Bonython",476,475,566,527,560,584,352,180,49,16,0,3783,
"Calwell",781,787,820,752,800,951,513,201,118,29,0,5761,
"Chisholm",694,698,746,655,673,859,546,191,51,11,0,5118,
"Conder",651,827,675,604,850,786,396,174,77,9,0,5059,
"Fadden",321,422,261,294,400,534,498,163,37,7,0,2953,
"Gilmore",385,362,386,417,362,422,289,80,44,4,0,2751,
"Gordon (ACT)",1000,1055,1100,937,1180,1205,622,370,129,25,0,7610,
"Gowrie (ACT)",429,376,369,402,391,441,433,158,46,7,0,3055,
"Greenway",176,115,357,400,216,213,219,144,45,11,0,1892,
"Isabella Plains",669,533,607,676,576,616,360,243,106,13,0,4403,
"Kambah",2005,1898,1570,1909,2115,1922,2181,986,279,33,0,14900,
"Macarthur",183,173,188,172,189,255,201,40,17,3,0,1426,
"Monash",630,586,619,656,638,804,679,358,334,113,8,5428,
"Mount Taylor",0,0,0,0,0,0,0,0,0,0,0,0,
"Oxley (ACT)",217,220,222,196,214,298,234,62,31,0,0,1697,
"Richardson",443,382,459,419,400,418,319,126,39,5,0,3008,
"Theodore",538,572,576,533,547,614,288,97,32,5,0,3799,
"Tuggeranong",0,3,0,0,6,7,0,0,0,0,0,22,
"Wanniassa",1021,900,825,1011,990,1043,1101,457,140,24,0,7511,
"Tuggeranong - West",3,0,3,0,0,0,0,0,0,0,0,12,
"Chapman",301,388,207,222,376,413,370,301,87,24,0,2687,
"Duffy",445,464,262,404,518,414,324,238,89,15,0,3162,
"Fisher",449,320,301,444,450,322,298,258,144,24,0,3000,
"Holder",361,279,219,383,409,297,295,251,90,14,0,2604,
"Rivett",492,341,320,477,456,366,371,271,94,7,0,3190,
"Stirling",260,229,168,238,295,238,306,191,154,47,0,2134,
"Waramanga",371,291,245,389,413,293,285,238,93,14,0,2627,
"Weston",490,361,257,495,532,398,381,376,219,74,0,3580,
"Scrivener",0,0,0,0,0,0,4,0,0,0,0,4,
"Chifley",296,256,347,408,327,277,212,189,86,13,0,2407,
"Curtin",687,652,482,637,773,765,493,418,260,63,3,5234,
"Farrer",376,457,316,299,496,465,310,285,176,50,0,3224,
"Garran",486,389,302,426,539,404,360,337,193,64,0,3499,
"Hughes",366,393,257,321,421,417,288,215,211,101,5,2993,
"Isaacs",233,245,214,238,256,382,358,264,125,22,0,2345,
"Lyons (ACT)",324,331,496,507,404,316,246,270,157,28,0,3089,
"Mawson",391,328,451,521,413,413,308,282,120,25,0,3254,
"O'Malley",98,155,94,59,132,158,163,96,27,11,0,990,
"Pearce",293,350,254,281,373,352,273,253,123,17,0,2582,
"Phillip",327,113,703,821,364,273,173,93,56,10,0,2935,
"Torrens",291,319,219,226,377,277,210,205,67,12,0,2206,
"Arboretum",0,0,0,0,0,0,3,0,0,0,0,10,
"Coombs",362,183,317,463,255,116,76,20,11,0,0,1810,
"Denman Prospect",0,0,0,0,0,0,0,0,0,0,0,0,
"Molonglo",0,0,0,0,0,0,0,0,0,0,0,0,
"Molonglo - North",0,5,0,0,0,3,0,0,0,0,0,5,
"Wright",408,181,765,724,300,215,114,40,9,0,0,2755,
"ACT - South West",94,81,63,109,90,71,42,11,8,0,0,561,
"Namadgi",10,4,8,5,0,9,4,0,0,0,0,41,
"Migratory - Offshore - Shipping (ACT)",0,0,0,0,0,0,0,0,0,0,0,0,
"No Usual Address (ACT)",32,40,136,101,73,86,53,10,6,0,0,541,
"Total",995565,938176,1080749,1103907,1050374,1002054,840944,530554,271658,62577,1075,7877622,

"Data Source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2018, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
